species,subset,candidate_set,model,targets,P,U,panel_size,P_vs_U_concordance,average_precision,first_positive_rank_min,first_positive_rank_max,first_positive_rank_expected,reciprocal_rank,recovered_P_at_5,recall_at_5,known_positive_precision_at_5,EF_at_5,NDCG_at_5,target_success_at_5,recovered_P_at_10,recall_at_10,known_positive_precision_at_10,EF_at_10,NDCG_at_10,target_success_at_10,recovered_P_at_20,recall_at_20,known_positive_precision_at_20,EF_at_20,NDCG_at_20,target_success_at_20,total_P,total_U
ecoli,all,matched,ipin_baseline,50,3.72,100.0,103.72,0.5517833333333334,0.09690087606620251,23.46,23.46,23.46,0.15574530259665326,0.3,0.06938095238095238,0.06000000000000001,1.4476190476190476,0.06850679581386507,0.22,0.52,0.11823809523809523,0.052000000000000005,1.2343809523809524,0.0901123563023752,0.36,0.96,0.23628571428571427,0.048,1.2294285714285715,0.13467799494423327,0.58,186,5000
ecoli,all,matched,ipin_optimized,50,3.72,100.0,103.72,0.5604942857142856,0.09452192437854412,22.2,22.2,22.2,0.15774665505482255,0.28,0.05357142857142857,0.055999999999999994,1.1274285714285714,0.06234319467854012,0.18,0.54,0.11776190476190475,0.054000000000000006,1.2316190476190478,0.08845005155254247,0.38,0.84,0.20609523809523808,0.042,1.0724761904761906,0.12034486209565178,0.54,186,5000
ecoli,all,matched,ipin_tuna_31k,50,3.72,100.0,103.72,0.5519233333333333,0.08927072445529287,20.84,20.84,20.84,0.16431834732228054,0.32,0.08752380952380953,0.064,1.8144761904761908,0.0719177882582179,0.32,0.52,0.13604761904761906,0.05200000000000001,1.4124761904761904,0.09406292708932938,0.44,0.84,0.22128571428571425,0.042,1.1484285714285714,0.12640088643382896,0.6,186,5000
ecoli,all,matched,tuna_retrained,50,3.72,100.0,103.72,0.55738,0.07520313634288685,22.02,22.02,22.02,0.11859858198016943,0.16,0.04238095238095238,0.032,0.8796190476190477,0.03821795251599616,0.14,0.36,0.0809047619047619,0.036000000000000004,0.8450476190476192,0.05648452181338092,0.28,0.68,0.19076190476190477,0.034,0.987809523809524,0.09390618266941914,0.52,186,5000
ecoli,no_exact_TRAIN_DEV_endpoint,all_U,ipin_baseline,50,3.72,200.0,203.72,0.5462447619047619,0.061422736815379686,46.7,46.7,46.7,0.11388790309680599,0.18,0.044047619047619044,0.036000000000000004,1.797904761904762,0.04634396931671645,0.12,0.32,0.0727142857142857,0.032,1.4862857142857144,0.05862918377226697,0.24,0.54,0.11442857142857144,0.027000000000000003,1.1712857142857143,0.07632771532085372,0.38,186,10000
ecoli,no_exact_TRAIN_DEV_endpoint,all_U,ipin_optimized,50,3.72,200.0,203.72,0.5603216666666667,0.054462272087410286,43.6,43.6,43.6,0.08854361104973385,0.2,0.03885714285714286,0.04,1.5942857142857145,0.03843864673431358,0.14,0.34,0.07223809523809523,0.034,1.478761904761905,0.05032574620365099,0.22,0.54,0.1110952380952381,0.027000000000000003,1.1379523809523808,0.06694897591164703,0.38,186,10000
ecoli,no_exact_TRAIN_DEV_endpoint,all_U,ipin_tuna_31k,50,3.72,200.0,203.72,0.5556688095238096,0.05021183641730783,40.52,40.52,40.52,0.09501320337492897,0.14,0.03919047619047619,0.027999999999999997,1.5956190476190477,0.030259908653260014,0.14,0.36,0.09352380952380951,0.036000000000000004,1.9064761904761907,0.056691301453918486,0.36,0.52,0.13938095238095236,0.026000000000000002,1.4198095238095236,0.07335312750667508,0.46,186,10000
ecoli,no_exact_TRAIN_DEV_endpoint,all_U,tuna_retrained,50,3.72,200.0,203.72,0.561337619047619,0.041075697528420975,42.38,42.38,42.38,0.06658357308089405,0.06,0.012857142857142855,0.012000000000000002,0.5262857142857144,0.014481088808698406,0.06,0.14,0.03238095238095238,0.013999999999999999,0.6616190476190477,0.02287459274980014,0.12,0.42,0.09542857142857143,0.021,0.9752857142857144,0.04865293662703826,0.32,186,10000
ecoli,no_exact_TRAIN_DEV_endpoint,background,ipin_baseline,50,3.72,100.0,103.72,0.5407061904761905,0.09629548622872029,24.24,24.24,24.24,0.16357429204198987,0.3,0.06938095238095238,0.06,1.4476190476190476,0.07070971667073085,0.24,0.54,0.12042857142857143,0.054000000000000006,1.2582857142857145,0.09259439372074882,0.38,0.92,0.2188095238095238,0.046,1.1400476190476192,0.12948307154918873,0.54,186,5000
ecoli,no_exact_TRAIN_DEV_endpoint,background,ipin_optimized,50,3.72,100.0,103.72,0.5601490476190476,0.0915486737178453,22.4,22.4,22.4,0.14451912399439343,0.36,0.07709523809523809,0.07200000000000001,1.613904761904762,0.07143118335977477,0.26,0.48,0.09809523809523808,0.048,1.028952380952381,0.07737586181011295,0.34,0.9,0.21295238095238095,0.045,1.1097619047619047,0.12052314090928527,0.52,186,5000
ecoli,no_exact_TRAIN_DEV_endpoint,background,ipin_tuna_31k,50,3.72,100.0,103.72,0.5594142857142856,0.0952207862697356,20.68,20.68,20.68,0.17367890256234714,0.3,0.07685714285714285,0.06,1.5971428571428572,0.07116478053454804,0.3,0.58,0.1537142857142857,0.057999999999999996,1.5951428571428574,0.10513511319198614,0.5,0.94,0.24657142857142858,0.047000000000000014,1.279857142857143,0.14004309893963104,0.62,186,5000
ecoli,no_exact_TRAIN_DEV_endpoint,background,tuna_retrained,50,3.72,100.0,103.72,0.5652952380952382,0.08005201699786699,21.36,21.36,21.36,0.1269665314149236,0.22,0.05038095238095238,0.044000000000000004,1.0516190476190477,0.04735546616195619,0.18,0.38,0.09257142857142857,0.038000000000000006,0.9637142857142856,0.0637221991704752,0.3,0.72,0.18242857142857144,0.036000000000000004,0.9481428571428573,0.09759338285774571,0.5,186,5000
ecoli,no_exact_TRAIN_DEV_endpoint,matched,ipin_baseline,50,3.72,100.0,103.72,0.5517833333333334,0.09690087606620251,23.46,23.46,23.46,0.15574530259665326,0.3,0.06938095238095238,0.06000000000000001,1.4476190476190476,0.06850679581386507,0.22,0.52,0.11823809523809523,0.052000000000000005,1.2343809523809524,0.0901123563023752,0.36,0.96,0.23628571428571427,0.048,1.2294285714285715,0.13467799494423327,0.58,186,5000
ecoli,no_exact_TRAIN_DEV_endpoint,matched,ipin_optimized,50,3.72,100.0,103.72,0.5604942857142856,0.09452192437854412,22.2,22.2,22.2,0.15774665505482255,0.28,0.05357142857142857,0.055999999999999994,1.1274285714285714,0.06234319467854012,0.18,0.54,0.11776190476190475,0.054000000000000006,1.2316190476190478,0.08845005155254247,0.38,0.84,0.20609523809523808,0.042,1.0724761904761906,0.12034486209565178,0.54,186,5000
ecoli,no_exact_TRAIN_DEV_endpoint,matched,ipin_tuna_31k,50,3.72,100.0,103.72,0.5519233333333333,0.08927072445529287,20.84,20.84,20.84,0.16431834732228054,0.32,0.08752380952380953,0.064,1.8144761904761908,0.0719177882582179,0.32,0.52,0.13604761904761906,0.05200000000000001,1.4124761904761904,0.09406292708932938,0.44,0.84,0.22128571428571425,0.042,1.1484285714285714,0.12640088643382896,0.6,186,5000
ecoli,no_exact_TRAIN_DEV_endpoint,matched,tuna_retrained,50,3.72,100.0,103.72,0.55738,0.07520313634288685,22.02,22.02,22.02,0.11859858198016943,0.16,0.04238095238095238,0.032,0.8796190476190477,0.03821795251599616,0.14,0.36,0.0809047619047619,0.036000000000000004,0.8450476190476192,0.05648452181338092,0.28,0.68,0.19076190476190477,0.034,0.987809523809524,0.09390618266941914,0.52,186,5000
ecoli,no_exact_any_model_TRAIN_DEV_endpoint,all_U,ipin_baseline,50,3.72,200.0,203.72,0.5462447619047619,0.061422736815379686,46.7,46.7,46.7,0.11388790309680599,0.18,0.044047619047619044,0.036000000000000004,1.797904761904762,0.04634396931671645,0.12,0.32,0.0727142857142857,0.032,1.4862857142857144,0.05862918377226697,0.24,0.54,0.11442857142857144,0.027000000000000003,1.1712857142857143,0.07632771532085372,0.38,186,10000
